Suburb,Postcode,HouseMedian$,UpdatedYr,UpdateMonth,,,
Emu Plains,2750,589000,2016,6,,,2750
Enfield,2136,878000,2016,6,,,2136
Enfield South,2133,878000,2016,6,,,2133
Engadine,2233,900000,2016,6,,,2233
Englorie Park,2560,545000,2016,6,,,2560
Enmore,2042,985000,2016,6,,,2042
Epping,2121,720000,2016,6,,,1710
Erina,2250,600000,2016,6,,,2250
Erina Heights,2260,600000,2016,6,,,2260
Ermington,2115,720000,2016,6,,,1700
Erskine Park,2759,589000,2016,6,,,2759
Erskineville,2043,930000,2016,6,,,2043
Eschol Park,2558,545000,2016,6,,,2558
Ettalong Beach,2257,600000,2016,6,,,2257
Eveleigh,2015,930000,2016,6,,,1430
Fairfield,1807,708000,2016,6,,,1860
Fairfield,2165,700000,2016,6,,,1860
Fairfield East,2165,700000,2016,6,,,2165
Fairfield Heights,2165,700000,2016,6,,,2165
Fairfield West,2165,700000,2016,6,,,2165
Fairlight,2094,1673000,2016,6,,,2094
Fairy Meadow,2519,595000,2016,6,,,2519
Farley,2320,417000,2016,6,,,2320
Farmborough Heights,2526,595000,2016,6,,,2526
Fassifern,2283,491000,2016,6,,,2283
Fennell Bay,2283,491000,2016,6,,,2283
Fernances,2775,635000,2016,6,,,2775
Fernhill,2519,595000,2016,6,,,2519
Ferodale,2318,449000,2016,6,,,2318
Figtree,2525,595000,2016,6,,,2525
Fingal Bay,2315,449000,2016,6,,,2315
Fishermans Bay,2316,449000,2016,6,,,2316
Fishing Point,2283,491000,2016,6,,,2283
Five Dock,2046,1006000,2016,6,,,2046
Flemington,2140,715000,2016,6,,,3031
Fletcher,2287,491000,2016,6,,,2287
Floraville,2280,491000,2016,6,,,2280
Foleys Hill,#N/A,1391000,2016,6,,,#N/A
Forest Lodge,2037,930000,2016,6,,,2037
Forestville,1856,1035000,2016,6,,,2087
Forresters Beach,2260,600000,2016,6,,,2260
Fountaindale,2258,480000,2016,6,,,2258
Fox Valley,#N/A,1600000,2016,6,,,#N/A
Foxground,2534,688000,2016,6,,,2534
Freemans Reach,2756,635000,2016,6,,,2756
Freemans Waterhole,2323,417000,2016,6,,,2323
Frenchs Forest,2086,1035000,2016,6,,,1639
Freshwater,2096,1035000,2016,6,,,#N/A
Fullerton Cove,2318,449000,2016,6,,,2318
Galston,2159,1089000,2016,6,,,2159
Garden Suburb,2289,491000,2016,6,,,2289
Gateshead,2290,491000,2016,6,,,2290
Georges Hall,1924,820000,2016,6,,,2198
Georges Hall,2198,700000,2016,6,,,2198
Georgetown,2298,491000,2016,6,,,2298
Gerringong,2534,688000,2016,6,,,2534
Gerroa,2534,688000,2016,6,,,2534
Gilead,2560,545000,2016,6,,,2560
Gillieston Heights,2321,417000,2016,6,,,2321
Gingkin,2787,578000,2016,6,,,2787
Girraween,2145,708000,2016,6,,,2145
Gladesville,2111,1780000,2016,6,,,1675
Glebe,2037,930000,2016,6,,,2037
Gledswood Hills,2557,700000,2016,6,,,#N/A
Glen Alpine,2560,545000,2016,6,,,2560
Glen Martin,2321,417000,2016,6,,,2321
Glen William,2321,417000,2016,6,,,2321
Glendenning,2761,632000,2016,6,,,2761
Glenfield,2167,545000,2016,6,,,2167
Glenhaven,2156,1089000,2016,6,,,2156
Glenmore Park,2745,589000,2016,6,,,2745
Glenning Valley,2261,480000,2016,6,,,2261
Glenorie,2157,1089000,2016,6,,,2157
Glenwood,2768,632000,2016,6,,,2768
Glenworth Valley,2250,600000,2016,6,,,2250
Glossodia,2756,635000,2016,6,,,2756
Gordon,2072,1600000,2016,6,,,2072
Gore Hill,2065,1486000,2016,6,,,#N/A
Gorokan,2263,480000,2016,6,,,2263
Gosford,2250,600000,2016,6,,,2250
Gosforth,2320,417000,2016,6,,,2320
Granville,1855,708000,2016,6,,,1830
Granville,2142,720000,2016,6,,,1830
Grays Point,2232,900000,2016,6,,,2232
Great Mackerel Beach,2108,1391000,2016,6,,,2108
Green Hills,2323,417000,2016,6,,,2323
Green Point,2251,600000,2016,6,,,2251
Green Valley,2168,695000,2016,6,,,2168
Greenacre,2190,820000,2016,6,,,2190
Greendale,2745,695000,2016,6,,,2550
Greenfield Park,2176,700000,2016,6,,,2176
Greengrove,2250,600000,2016,6,,,2250
Greenhills Beach,2230,900000,2016,6,,,#N/A
Greenwich,2065,835000,2016,6,,,2065
Gregory Hills,2557,700000,2016,6,,,#N/A
Greta,2334,316000,2016,6,,,2334
Greystanes,1791,708000,2016,6,,,2145
Grose Vale,2753,635000,2016,6,,,2753
Grose Wold,2753,635000,2016,6,,,2753
Guildford,1817,708000,2016,6,,,1848
Guildford West,2161,708000,2016,6,,,2161
Gunderman,2775,600000,2016,6,,,2775
Gurnang,2787,578000,2016,6,,,2787
Gwandalan,2259,480000,2016,6,,,2259
Gwynneville,2500,595000,2016,6,,,2500
Gymea,2227,900000,2016,6,,,2227
Gymea Bay,2227,900000,2016,6,,,2227
Haberfield,2045,825000,2016,6,,,2045
Halekulani,2262,480000,2016,6,,,2262
Hamilton,2303,491000,2016,6,,,2303
Hamilton East,2303,491000,2016,6,,,2303
Hamilton North,2292,491000,2016,6,,,2292
Hamilton South,2303,491000,2016,6,,,2303
Hamlyn Terrace,2259,480000,2016,6,,,2259
